作答ID,用户ID,开始时间,结束时间,作答总时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,国家,Province,City,Device,OS,Browser,Pixel,Randomisation,Gender,Age,Education,MotherLanguage,MotherLanguage_2,History_AI_Suage,JsPsych_1,JSPSYCH_2,DiagnosedMBTISelfTrait,MBTI_type,Intro_Extro,Intui_Sens,Felli_Think,Perc_Jude,MBTI_Match_Self_Content,SelfMBTI_1,SelfMBTI_2,SelfMBTI_3,SelfMBTI_4,SelfMBTI_5,SelfMBTI_6,SelfMBTI_7,SelfMBTI_8,SelfMBTI_9,SelfMBTI_10,SelfMBTI_11,SelfMBTI_12,SelfMBTI_13,SelfMBTI_14,SelfMBTI_15,SelfMBTI_16,BrandMBTI_1,BrandMBTI_2,BrandMBTI_3,BrandMBTI_4,BrandMBTI_5,BrandMBTI_6,BrandMBTI_7,BrandMBTI_8,BrandMBTI_9,BrandMBTI_10,BrandMBTI_11,BrandMBTI_12,BrandMBTI_13,BrandMBTI_14,BrandMBTI_15,BrandMBTI_16,InfluencerMBTI_1,InfluencerMBTI_2,InfluencerMBTI_3,InfluencerMBTI_4,InfluencerMBTI_5,InfluencerMBTI_6,InfluencerMBTI_7,InfluencerMBTI_8,InfluencerMBTI_9,InfluencerMBTI_10,InfluencerMBTI_11,InfluencerMBTI_12,InfluencerMBTI_13,InfluencerMBTI_14,InfluencerMBTI_15,InfluencerMBTI_16,ProjectiveMBTI_1,ProjectiveMBTI_2,ProjectiveMBTI_3,ProjectiveMBTI_4,ProjectiveMBTI_5,ProjectiveMBTI_6,ProjectiveMBTI_7,ProjectiveMBTI_8,ProjectiveMBTI_9,ProjectiveMBTI_10,ProjectiveMBTI_11,ProjectiveMBTI_12,ProjectiveMBTI_13,ProjectiveMBTI_14,ProjectiveMBTI_15,ProjectiveMBTI_16,Brand_Influencer_1,Brand_Influencer_2,Brand_Influencer_3,Brand_Influencer_4,Brand_Influencer_5,Brand_Influencer_6,Brand_Influencer_7,Brand_Influencer_8,Brand_Influencer_9,Brand_Influencer_10,Brand_Influencer_11,Brand_Influencer_12,TargetingGap_1_R,TargetingGap_2_R,TargetingGap_3_R,TargetingGap_4,TargetingGap_5_R,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5_R,ConversionGap_1,ConversionGap_2,ConversionGap_3,ConversionGap_4,ConversionGap_5,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Referencing_1,Referencing_2,Referencing_3,Referencing_4,Referencing_5,AdEngagement_1,AdEngagement_2,AdEngagement_3,AdEngagement_4,AdEngagement_5,AdEngagement_6,AdEngagement_7,AdEngagement_8,AdEngagement_9,AI_Interactivity,AI_Spontaneity,AI_Immersiveness,AI_Realtime,AI_Intimateness,AI_Empathy,AI_Serendipity,AI_Involvement,AI_Stereotype,AI_Inflexibility,AI_Out_of_Context,AI_Out_of_Memory,AI_Rigidity,AI_Semantic_Drift,AI_Staganance,AI_Low_Credibility,AI_Off_Topic,AI_Ethical_Guardrail,AI_Cultural_Inappropriateness,CAT_HumanLikeness,CAT_AlgorithmRestriction,AIChat_HumanlikeResponsiveness,AIChat_AlgorithmRestriction,Division_AIchatAttitude,Recall_Influencer,Recall_Brand,Recall_TalkObjective,Recall_Length_Talk,Awareness_AIChatbot
1,kMryDXke,2025-06-05 20:28:55,2025-06-05 20:51:48,1373,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,111.33.195.44,117.1901820,39.1255960,中国,天津市,市辖区,COMPUTER,Windows,WeChat,1536px*960px, ,1,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_39b215342aaf43899b8e44f,ENFP,9,2,1,1,1,2,5,2,4,1,4,4,4,5,3,4,5,4,4,5,4,3,4,3,5,4,5,4,4,5,4,5,2,4,4,5,4,5,5,3,4,4,3,4,5,4,4,5,3,4,4,5,4,5,4,5,4,1,4,5,3,4,4,5,2,4,5,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,2,1,2,1,2,5,4,4,5,2,4,5,2,2,1,5,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,5,3,4,4,5,3,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,3,4,2,1,2,2,1,2,2,1,1,2,1,2,1,2.677375,.723636363636364,3,4,4,3,3,4
2,2Md3XoAe,2025-06-05 20:25:35,2025-06-05 20:51:39,1564,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,114.254.181.45,116.2066490,40.2442540,中国,北京市,市辖区,COMPUTER,Windows,Chrome,1000px*600px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_1de1c161ac5b4da0837709a,ISFJ,6,1,2,1,2,2,4,5,3,3,5,3,4,5,2,4,4,5,4,4,3,2,2,5,4,4,5,3,5,2,4,4,3,4,5,2,4,5,4,5,4,4,4,3,4,2,4,4,3,4,5,3,4,2,3,4,3,4,5,3,5,2,4,2,3,3,3,2,2,2,4,4,3,5,4,5,5,4,5,5,3,4,2,2,1,3,3,3,3,2,3,4,4,4,3,3,3,4,4,3,4,3,5,3,4,5,4,4,4,3,2,4,3,5,5,2,2,4,4,3,4,5,3,3,4,3,5,5,4,4,4,3,3,4,3,2,3,2,4,4,3,3,4,2,3,4,4,3,3,3,4,2,3,3,5,3,3,1,2,2.08425,1.55145454545455,2,5,5,2,3,4
3,KLObp847,2025-06-05 20:06:31,2025-06-05 20:21:41,910,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,104.28.195.186,118.8483577,32.0257540,United States,California,Los Angeles,COMPUTER,Windows,Chrome,1536px*864px, ,2,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_6f5bf6e5aaab4e079d12b27,INFP,1,1,1,1,1,2,2,4,4,5,2,5,4,4,4,5,4,5,2,5,1,4,4,3,5,5,4,4,5,4,5,4,3,4,2,4,5,5,4,2,5,4,4,2,2,5,3,4,2,4,2,5,3,4,4,2,4,2,3,2,4,3,2,4,2,3,2,4,2,4,5,5,5,5,4,4,4,5,5,5,4,4,3,2,2,2,2,2,3,2,2,2,2,4,3,4,4,3,4,4,5,5,1,4,5,5,5,5,4,5,4,4,5,5,5,2,2,4,3,4,4,5,2,1,4,4,5,4,3,4,4,4,5,2,4,2,4,3,5,4,4,5,3,4,1,5,2,2,1,1,1,2,2,2,2,3,3,1,2,2.413,.891363636363636,2,2,2,3,3,5
4,me3lxGRM,2025-06-05 19:16:28,2025-06-05 19:35:30,1142,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,118.212.198.112,116.0176930,29.6710150,中国,江西省,九江市,COMPUTER,Windows,Chrome,1536px*864px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_f381ac6128574f329f60b58,ISFJ,6,1,2,1,2,2,3,4,1,4,4,4,5,4,2,4,4,5,3,4,3,1,4,3,4,4,5,4,5,4,4,5,5,5,4,3,4,4,4,3,4,4,3,3,5,4,5,3,4,4,5,3,4,3,4,5,4,3,4,4,3,4,3,4,4,5,5,4,4,3,5,5,4,5,4,3,4,3,4,4,4,5,2,2,2,1,1,3,3,3,4,1,4,4,2,2,2,5,4,4,5,4,4,4,4,3,4,4,4,5,4,3,4,4,5,4,4,3,4,5,4,4,5,5,4,3,4,4,5,4,5,4,4,5,4,3,3,4,5,4,5,5,5,5,1,4,2,2,1,1,3,2,1,2,2,4,2,2,2,2.6455,.922363636363636,4,5,5,3,4,5
5,5M2x3kkL,2025-06-05 18:36:32,2025-06-05 18:51:02,870,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,118.182.191.89,104.6262940,35.5795780,中国,甘肃省,定西市,COMPUTER,Windows,WeChat,1536px*864px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_f3c235cc1b054e4597149d2,INFJ,2,1,1,1,2,2,5,5,2,5,5,5,3,5,3,5,5,5,4,4,3,2,5,4,4,3,3,4,5,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,4,5,5,4,4,4,4,2,1,3,1,2,4,5,4,5,2,2,5,5,2,5,4,4,4,5,4,4,5,5,5,5,4,5,5,4,5,5,4,4,4,4,4,5,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4,4,3,5,5,4,3,4,5,5,5,4,5,4,3,2,4,4,4,3,3,4,3,3,2,2,2.697875,1.59827272727273,4,6,6,3,4,3
6,veEaj51e,2025-06-05 17:32:04,2025-06-05 18:02:13,1809,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,218.94.51.83,118.7674130,32.0415440,中国,江苏省,南京市,COMPUTER,Windows,Chrome,1600px*900px, ,1,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_2ef4100242064253b296ae0,ENTP,11,2,1,2,1,2,4,2,4,2,5,4,3,4,5,4,5,4,5,4,2,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,4,5,4,5,4,5,4,4,5,2,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,4,5,4,5,4,4,5,4,5,1,2,1,1,2,4,5,4,5,2,4,5,2,1,2,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,5,4,4,5,4,4,4,5,5,4,4,5,3,5,2,1,2,1,2,1,1,2,1,2,1,2,1,2.658625,.683181818181818,3,12,12,2,5,2
7,G7XNJ8Oe,2025-06-05 17:43:36,2025-06-05 17:59:11,935,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,120.225.242.113,119.9644390,36.2745970,中国,山东省,青岛市,COMPUTER,Windows,Chrome,1536px*864px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_0d10c5a6cd9348028773337,ISTP,7,1,2,2,1,2,4,5,1,5,4,4,4,2,5,2,4,4,5,4,2,4,4,5,4,4,3,5,4,4,4,5,5,3,4,4,5,4,4,5,4,3,5,3,4,2,4,3,5,3,4,4,4,4,5,4,4,4,3,4,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,4,4,4,4,3,5,4,2,1,2,2,1,4,5,4,4,2,3,4,2,2,2,4,3,5,4,4,3,5,4,4,5,4,4,4,5,4,3,5,4,4,5,4,4,4,4,3,4,5,4,5,3,4,4,4,5,4,4,4,4,5,5,3,5,2,4,4,3,4,2,4,3,2,2,2,3,2,2,1,2,2,1,1,2,2.14775,.953272727272727,2,9,9,3,3,5
8,5LmrPDAe,2025-06-05 16:45:45,2025-06-05 17:08:49,1384,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,39.144.82.18,117.0828320,39.3778450,中国,天津市,市辖区,COMPUTER,Windows,Chrome,1221px*814px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_2757ec8cb0544c348372aa5,ENTP,11,2,1,2,1,2,4,2,3,2,5,4,3,4,5,4,5,4,4,5,4,3,4,4,5,5,5,4,4,5,4,4,3,4,4,5,5,4,5,4,4,3,4,4,5,4,4,5,4,5,5,5,4,4,5,4,3,3,4,4,5,5,4,4,5,3,4,4,5,4,5,5,4,4,5,4,4,3,4,3,5,4,3,2,2,2,3,4,3,4,5,2,4,5,2,3,2,5,4,4,5,4,4,3,4,4,5,4,4,5,3,4,4,5,5,3,4,4,5,4,5,4,3,4,5,4,4,5,5,5,4,4,5,5,4,5,4,5,5,4,3,4,4,5,4,5,2,1,2,2,1,1,2,2,3,2,1,2,1,2.6185,.805363636363636,3,12,12,3,3,4
9,5LwWoVqL,2025-06-05 16:41:13,2025-06-05 16:56:05,892,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,223.89.74.255,111.7710000,34.7577000,中国,河南省,三门峡市,COMPUTER,Windows,Chrome,1920px*1080px, ,1,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_9b94e2644bc54052b045d32,INTJ,4,1,1,2,2,2,5,5,2,5,5,3,3,5,4,3,5,5,5,5,5,2,5,4,4,4,3,4,4,5,4,4,3,4,4,4,4,5,4,4,5,5,4,4,4,4,5,3,3,3,4,4,4,5,4,4,5,5,4,4,5,5,5,4,3,3,3,3,4,3,3,4,4,5,4,4,4,5,5,5,3,3,3,2,3,3,3,4,4,5,5,2,3,3,4,3,3,4,4,4,3,4,4,3,3,4,4,4,5,5,4,4,4,5,4,4,4,5,4,4,5,4,4,5,4,3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,3,4,3,4,3,3,2,3,2,2,4,2,4,1,2,2.248125,1.38072727272727,2,14,14,3,4,5
10,4enp6NB7,2025-06-05 15:22:58,2025-06-05 15:38:53,955,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,218.196.247.75,113.2625943,35.1933260,中国,河南省,焦作市,COMPUTER,Windows,Chrome,1536px*864px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250605/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_ad1265b7713e4504a6a1aed,ISFJ,6,1,2,1,2,2,3,5,2,5,4,3,4,4,3,4,5,5,5,4,4,4,3,5,4,5,5,4,5,4,5,5,4,4,5,3,4,3,3,5,3,4,5,4,4,3,4,3,5,3,4,3,4,3,4,5,3,5,5,3,4,3,5,3,5,3,5,3,4,4,3,4,4,4,5,5,4,4,5,4,5,5,2,2,1,2,2,3,3,4,4,2,4,3,3,2,2,4,4,4,3,5,3,4,5,5,4,4,5,4,4,4,4,5,5,4,4,4,4,5,4,5,4,5,4,4,5,5,4,4,5,5,4,4,4,4,5,3,4,4,4,4,3,4,3,5,3,3,2,2,2,2,2,1,1,2,1,1,2,2.363875,.898909090909091,2,5,5,3,3,5
